message_size,latency,throughput,strategy
100,0.0,3352362.1496205702,normal_one2one
333,0.0,3057563.4668824496,normal_one2one
666,0.0,2698600.6622885643,normal_one2one
1000,0.0,2193516.6316018514,normal_one2one
5000,2e-06,430863.6678345455,normal_one2one
10000,4.25e-06,224096.7718978156,normal_one2one
20000,9e-06,108807.55862399389,normal_one2one
100,0.0,10902082.474401651,unfair_one2one
333,0.0,9161777.866550578,unfair_one2one
666,1.25e-07,8076207.0908070095,unfair_one2one
1000,1.25e-07,6778739.871100948,unfair_one2one
5000,3e-06,1311524.2416245514,unfair_one2one
10000,5.6249999999999995e-06,704682.0277967154,unfair_one2one
20000,1.1374999999999999e-05,345801.98952431476,unfair_one2one
