message_size,latency,throughput,strategy
100,0,2446633.6966852164,Scrooge k=5120+ resends
1000,0,955937.6987693567,Scrooge k=5120+ resends
10000,0,218946.59711643044,Scrooge k=5120+ resends
100000,0,25094.01823114823,Scrooge k=5120+ resends
100,0,1111387.523219418,all2all
1000,0,362127.98268245003,all2all
10000,0,37023.34578909818,all2all
100000,0,3737.1571187523696,all2all
1000000,0,319.4143068813713,all2all
100,0,7349485.484773459,one shot one2one
1000,0,5934485.317802341,one shot one2one
10000,0,1020082.8074280295,one shot one2one
100000,0,99704.49229092822,one shot one2one
1000000,0,12439.780990015663,one shot one2one
